num_bed,year_built,longitude,latitude,num_room,num_bath,living_area,property_type,num_parking,accessible_buildings,family_quality,art_expos,emergency_shelters,emergency_water,Facilities,fire_stations,Cultural,Monuments,police_stations,Vacant,Free_Parking,askprice
2,1993,-73.6696768,45.537392,5,1,97.55,9,1,5,101,93,26,185,11,26,42,14,15,1,36,272800
2,2003,-73.5651434,45.4927424,5,1,94.02,9,1,5,137,213,27,213,216,37,62,41,17,43,48,421000
2,1996,-73.6258169,45.4981584,7,2,93.37,9,1,5,156,251,36,284,210,40,73,44,23,43,51,364000
2,2002,-73.5538055,45.4990276,4,1,78.97,9,1,4,133,207,25,199,216,34,61,41,18,43,49,420000
5,1946,-73.6249059,45.5050633,9,3,167.23,9,1,5,163,248,35,294,210,42,75,45,24,43,52,719000
2,1987,-73.569921,45.5536353,7,1,117.8,9,1,6,167,208,32,235,216,39,67,44,21,43,52,385900
1,2003,-73.568428,45.5164014,5,1,108.7,9,1,4,167,211,29,245,216,37,68,42,20,43,52,565000
1,2010,-73.5948723,45.4621857,3,1,39.76,9,1,5,117,225,29,204,216,31,57,33,18,43,39,169000
2,2011,-73.65236744,45.49670815,4,1,72,9,1,6,127,201,32,236,104,35,60,27,21,29,40,286000
2,2003,-73.5946616,45.5303368,6,1,120.5,9,1,5,182,222,35,285,216,44,74,44,23,43,53,449000
1,2011,-73.5953945,45.5319527,4,1,68.75,9,1,5,180,221,35,285,216,44,73,44,23,43,53,320000
1,2005,-73.5442237,45.5456009,3,1,73.95,9,1,6,140,198,27,192,216,32,57,40,19,43,51,225000
2,1984,-73.5740395,45.4843058,4,1,82.22,9,1,5,132,212,26,216,216,36,62,41,18,43,44,324000
2,2006,-73.5678455,45.5471796,5,1,78.37,9,1,6,170,211,32,241,216,41,68,42,22,43,52,299000
2,2006,-73.595435,45.5648096,4,1,89.89,9,1,6,168,204,30,236,215,40,69,42,20,43,51,294000
1,1984,-73.5640067,45.5362977,3,1,57.65,9,1,5,168,210,30,242,216,39,68,42,20,43,51,234000
2,1994,-73.5506065,45.5113026,6,2,92.9,9,1,4,147,209,27,205,216,35,67,41,20,43,52,445000
3,2011,-73.5936206,45.4748548,5,1,104.98,9,1,5,128,222,29,225,216,36,65,42,19,43,42,379000
3,1983,-73.5234898,45.5922105,6,2,136.01,9,1,5,114,117,20,142,171,22,40,26,11,20,20,280000
2,2008,-73.5641251,45.5434896,5,1,98.01,9,1,5,167,210,32,238,216,41,68,42,22,43,51,399000
3,1974,-73.5663994,45.5293917,8,2,133.41,9,1,5,173,210,31,247,216,37,68,42,21,43,52,519000
1,2012,-73.5592235,45.495234,4,1,52.77,9,1,5,135,211,26,203,216,34,61,41,17,43,49,289000
3,1996,-73.5639816,45.5530071,7,1,122.63,9,1,7,160,207,30,229,216,39,64,42,21,43,52,395000
2,2007,-73.5659243,45.5440959,5,1,107.3,9,1,5,169,210,32,241,216,41,68,42,22,43,52,397500
2,2005,-73.5328434,45.5874433,6,1,95.32,9,1,5,125,131,23,164,186,24,51,28,14,26,34,256000
1,2007,-73.535601,45.5596501,3,1,68.01,9,1,6,128,184,23,165,215,29,52,37,17,43,50,220000
2,2000,-73.6237901,45.5336769,4,1,91.04,9,1,5,168,210,36,279,210,44,73,43,23,43,53,386000
2,1990,-73.5881614,45.6078226,4,1,76.7,9,1,5,136,92,25,186,93,27,47,24,17,8,42,234900
2,2003,-73.583566,45.5836428,4,2,110.7,9,1,7,144,180,27,206,212,35,57,38,18,43,51,344900
3,1951,-73.590437,45.555378,7,2,115,9,1,6,168,209,33,245,216,39,68,44,21,43,52,498000
2,2005,-73.5917009,45.6089398,5,2,117.34,9,1,5,135,86,25,184,83,27,47,24,16,8,42,398000
1,2008,-73.5685394,45.5141941,5,1,64.38,9,1,4,165,211,29,244,216,37,68,42,20,43,52,349000
2,2003,-73.5630479,45.50519,5,1,93.5,9,1,4,148,211,27,224,216,34,63,41,19,43,52,424999
1,2013,-73.5668466,45.4875318,3,1,72,9,2,5,132,212,25,213,216,36,63,41,17,43,45,429000
3,1929,-73.6196872,45.4863336,6,2,171.87,9,1,5,147,249,33,263,211,39,66,37,22,43,45,499000
1,2013,-73.55915308,45.44674913,5,1,73.11,9,1,4,86,174,19,143,216,23,44,27,12,43,29,409000
1,1992,-73.5496888,45.5769539,5,1,48.77,9,1,6,142,183,29,187,215,32,56,35,18,43,50,189900
2,2009,-73.5449084,45.553309,7,1,102.19,9,1,7,136,192,25,190,216,32,53,40,18,43,50,381000
3,1986,-73.638815,45.5510149,5,2,109.3,9,1,4,147,179,31,248,176,35,64,34,21,40,51,299800
2,2002,-73.53662102,45.59580981,6,2,162.58,9,1,5,125,123,23,161,171,24,51,27,14,22,29,454900
2,1984,-73.6278246,45.5542689,5,2,101.26,9,1,5,166,192,34,255,199,41,70,39,24,42,52,349000
2,2009,-73.5857667,45.5729225,6,1,84.54,9,1,7,151,194,28,215,215,38,62,39,19,43,51,270000
2,1999,-73.5627348,45.5527411,5,1,101.82,9,1,7,160,206,30,228,216,39,64,42,21,43,51,385000
2,2008,-73.6084085,45.425197,4,1,85.94,9,1,3,69,146,21,128,56,19,34,16,9,23,19,299000
2,2009,-73.5859396,45.5726048,5,1,83.98,9,1,7,152,195,28,216,215,38,62,40,19,43,51,269000
2,2012,-73.5599938,45.4953476,6,2,105.82,9,1,5,137,211,26,207,216,34,62,41,17,43,49,589000
2,1999,-73.6148308,45.4420457,7,1,111.48,9,1,5,87,199,22,162,117,26,48,28,14,35,30,319000
2,1987,-73.5525877,45.461987,5,1,95.13,9,1,4,94,184,19,156,216,25,49,28,14,43,37,335000
1,2007,-73.5495422,45.5264999,4,1,60.94,9,1,5,156,208,29,220,216,35,65,41,18,43,52,229000
2,2006,-73.56618,45.5441672,6,1,100.24,9,1,5,169,210,32,242,216,41,68,42,22,43,52,424900
